time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-20T11:51:00.390Z,31.6582,-104.3839,5,2.9,mb_lg,,134,0.406,0.45,us,us2000jklt,2019-02-20T12:00:08.040Z,"74km SSW of Loving, New Mexico",earthquake,2.2,1.8,0.069,54,reviewed,us,us
2019-02-20T10:43:25.060Z,34.665,24.069,43.63,4.4,mb,,195,0.917,0.98,us,us2000jkkm,2019-02-20T10:59:20.040Z,"72km SSE of Palaiochora, Greece",earthquake,7.2,12.3,0.115,22,reviewed,us,us
2019-02-20T10:22:33.520Z,-24.1989,-66.9466,188.33,4.4,mb,,56,1.678,1.19,us,us2000jkkb,2019-02-20T12:11:13.040Z,"63km W of San Antonio de los Cobres, Argentina",earthquake,5.7,6.8,0.149,13,reviewed,us,us
2019-02-20T09:05:42.220Z,19.1925,99.6261,10,4.6,mb,,49,0.746,0.63,us,us2000jkje,2019-02-21T08:45:14.994Z,"5km N of Wang Nuea, Thailand",earthquake,2.6,1.9,0.098,31,reviewed,us,us
2019-02-20T08:17:58.180Z,40.2831667,-124.5468333,21.4,2.47,md,18,261,0.2025,0.21,nc,nc73143691,2019-02-21T04:27:04.933Z,"23km WSW of Petrolia, CA",earthquake,1.02,0.51,0.144,14,reviewed,nc,nc
2019-02-20T07:05:35.350Z,38.7375,-112.4965,8.22,4.04,ml,27,45,0.1335,0.18,uu,uu60313397,2019-02-21T07:22:03.768Z,"29km SW of Fillmore, Utah",earthquake,0.33,0.6,0.137,22,reviewed,uu,uu
2019-02-20T06:50:46.550Z,-6.8599,129.1905,205.75,4.6,mb,,80,4.96,0.96,us,us2000jkh7,2019-02-20T07:06:07.040Z,"263km WNW of Saumlaki, Indonesia",earthquake,9.3,9.8,0.129,18,reviewed,us,us
2019-02-20T06:16:41.118Z,59.2954,-153.6466,110.6,3.9,ml,,,,0.65,ak,ak0192cg2tci,2019-02-20T22:28:33.893Z,"83km ESE of Old Iliamna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-02-20T06:15:27.796Z,61.3002,-146.9302,20.1,3.5,ml,,,,0.75,ak,ak0192cg2kp4,2019-02-20T06:21:40.068Z,"36km WNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-20T06:02:55.820Z,19.5388,-64.8191,75,3.34,md,17,315,1.7353,0.61,pr,pr2019051003,2019-02-20T06:38:27.796Z,"126km N of Road Town, British Virgin Islands",earthquake,7.44,21.36,0.35,12,reviewed,pr,pr
2019-02-20T06:00:44.800Z,19.5455,-64.8881,90,3.11,md,13,313,1.7007,0.7,pr,pr2019051006,2019-02-20T09:15:39.448Z,"128km NNW of Road Town, British Virgin Islands",earthquake,10.22,23.33,0.34,10,reviewed,pr,pr
2019-02-20T05:47:32.180Z,19.2475,-68.6671,133,3.27,md,11,342,0.7873,0.7,pr,pr2019051005,2019-02-20T09:15:10.960Z,"49km NE of Miches, Dominican Republic",earthquake,12.34,9.56,0.35,10,reviewed,pr,pr
2019-02-20T04:34:54.710Z,19.3955,-64.7811,47,3.1,md,10,317,1.6465,0.28,pr,pr2019051002,2019-02-20T09:14:23.376Z,"109km N of Road Town, British Virgin Islands",earthquake,3.35,18.08,0.38,10,reviewed,pr,pr
2019-02-20T04:06:50.540Z,9.3577,-84.5058,35,3.6,ml,,303,0.749,0.32,us,us2000jkv0,2019-02-20T22:03:03.738Z,"26km SW of Parrita, Costa Rica",earthquake,2.2,2,0.105,12,reviewed,us,us
2019-02-20T03:40:14.080Z,38.5394,97.1523,10.67,4.8,mb,,68,11.473,1,us,us2000jkfm,2019-02-20T03:49:47.040Z,"131km N of Delingha Shi, China",earthquake,8.5,4.4,0.094,36,reviewed,us,us
2019-02-20T03:18:42.360Z,28.2788,130.1991,10,4.8,mb,,121,2.234,0.99,us,us2000jkf9,2019-02-20T03:33:04.040Z,"70km E of Naze, Japan",earthquake,7,1.9,0.088,40,reviewed,us,us
2019-02-20T02:29:34.280Z,29.3006,77.2659,10,4,mb,,198,5.518,0.57,us,us2000jkem,2019-02-20T17:02:24.813Z,"1km S of Kandhla, India",earthquake,13.6,2,0.26,4,reviewed,us,us
2019-02-20T01:35:44.400Z,38.5258,68.9885,10,4.6,mb,,46,0.133,0.68,us,us2000jke0,2019-02-20T12:27:22.954Z,"4km SSW of Kofarnihon, Tajikistan",earthquake,5,1.7,0.067,66,reviewed,us,us
2019-02-20T01:14:38.430Z,51.4229,-176.9651,35,4.1,mb,,152,0.445,0.93,us,us2000jkdp,2019-02-20T03:03:04.040Z,"55km SSW of Adak, Alaska",earthquake,8.7,2,0.084,38,reviewed,us,us
2019-02-20T00:38:12.000Z,19.6965,-65.3431,53,3.22,md,15,300,1.6346,0.57,pr,pr2019051001,2019-02-20T04:59:56.040Z,"148km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.75,27.83,0.54,7,reviewed,pr,pr
2019-02-20T00:15:27.520Z,19.0268,-64.7053,94,3.56,md,6,340,1.4458,0.88,pr,pr2019051000,2019-02-20T03:19:21.040Z,"123km NNW of Road Town, British Virgin Islands",earthquake,17.7,25.7,0.02,2,reviewed,pr,pr
2019-02-20T00:10:39.670Z,0.749,126.1874,36.43,5.6,mww,,45,1.179,1.06,us,us2000jkcy,2019-02-20T21:05:56.040Z,"131km W of Kota Ternate, Indonesia",earthquake,6.2,5.5,0.066,22,reviewed,us,us
2019-02-19T22:39:20.040Z,18.0995,-68.4138,64,2.92,md,3,213,1.3075,0.04,pr,pr2019050016,2019-02-21T04:45:20.040Z,"38km SSE of Boca de Yuma, Dominican Republic",earthquake,1.6,2.49,0.23,3,reviewed,pr,pr
2019-02-19T22:14:20.930Z,37.2775,-121.653,5.88,2.53,md,84,28,0.02448,0.05,nc,nc73143546,2019-02-20T14:24:32.722Z,"16km N of Morgan Hill, CA",earthquake,0.08,0.19,0.143,90,reviewed,nc,nc
2019-02-19T21:33:57.340Z,40.3805,27.0546,10,4.1,mb,,34,0.918,0.85,us,us2000jk8x,2019-02-20T18:39:13.910Z,"23km NW of Biga, Turkey",earthquake,5.2,1.9,0.37,2,reviewed,us,us
2019-02-19T20:41:21.430Z,-37.3054,179.0796,48.2,4.5,mb,,218,0.666,1.02,us,us2000jk7k,2019-02-20T19:48:28.040Z,"176km NNE of Gisborne, New Zealand",earthquake,7.1,9.3,0.157,13,reviewed,us,us
2019-02-19T20:31:17.440Z,38.8183327,-122.7904968,0.74,2.57,md,14,88,0.01101,0.05,nc,nc73143531,2019-02-19T23:03:04.670Z,"5km NNW of The Geysers, CA",earthquake,0.29,0.34,0.07,11,automatic,nc,nc
2019-02-19T19:25:13.133Z,38.0865,-116.8762,14.5,2.5,ml,11,76.22,0.556,0.1543,nn,nn00678260,2019-02-20T22:20:20.272Z,"31km E of Tonopah, Nevada",earthquake,,3.8,0.37,4,reviewed,nn,nn
2019-02-19T19:13:34.561Z,61.4306,-150.0686,9.6,2.7,ml,,,,0.86,ak,ak0192b09g8w,2019-02-20T18:40:58.040Z,"9km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-19T18:46:41.000Z,-6.5626,101.7793,10,5.1,mww,,35,2.481,0.76,us,us2000jk4v,2019-02-20T18:25:19.040Z,"277km SW of Kuripan, Indonesia",earthquake,7.4,1.8,0.065,23,reviewed,us,us
2019-02-19T18:08:10.750Z,35.1031,-97.8641,5,3,mb_lg,,78,0.207,0.63,us,us2000jk3v,2019-02-21T00:52:24.965Z,"8km NE of Chickasha, Oklahoma",earthquake,1.4,1.9,0.051,100,reviewed,us,us
2019-02-19T17:33:53.480Z,38.3852,75.1294,114.9,4.4,mb,,61,2.814,1.08,us,us2000jk30,2019-02-20T17:15:08.040Z,"104km ENE of Murghob, Tajikistan",earthquake,6.5,3.6,0.063,72,reviewed,us,us
2019-02-19T17:24:36.880Z,-24.88,179.8471,510.37,4.5,mb,,70,4.778,0.77,us,us2000jk32,2019-02-20T15:15:43.040Z,"South of the Fiji Islands",earthquake,11.4,7.3,0.06,82,reviewed,us,us
2019-02-19T16:55:21.540Z,-7.5201,130.3612,49.41,4.5,mb,,94,1.036,0.53,us,us2000jk27,2019-02-19T17:33:35.040Z,"115km WNW of Saumlaki, Indonesia",earthquake,8.9,11,0.124,19,reviewed,us,us
2019-02-19T16:24:55.060Z,38.8468,141.682,68.99,4.6,mb,,136,1.202,0.98,us,us2000jk1q,2019-02-19T17:20:40.040Z,"25km S of Ofunato, Japan",earthquake,7.9,7.7,0.065,70,reviewed,us,us
2019-02-19T14:13:13.980Z,14.455,-93.0748,35,4.5,mb,,190,1.338,1,us,us2000jjzy,2019-02-19T14:45:47.040Z,"76km WSW of Puerto Madero, Mexico",earthquake,8.7,2,0.044,155,reviewed,us,us
2019-02-19T13:33:39.510Z,-20.9433,168.7027,7.29,4.7,mb,,108,2.03,0.74,us,us2000jjzq,2019-02-19T14:20:43.040Z,"108km NE of Tadine, New Caledonia",earthquake,9.5,6.6,0.108,26,reviewed,us,us
2019-02-19T13:04:32.920Z,64.1444,-162.1733,10,2.5,ml,,80,0.7,0.34,us,us2000jjzj,2019-02-19T14:09:12.040Z,"74km WNW of Unalakleet, Alaska",earthquake,3.4,2,0.128,8,reviewed,us,us
2019-02-19T12:56:54.080Z,4.1144,128.2919,10,4.9,mb,,122,3.446,0.94,us,us2000jjzf,2019-02-19T13:17:55.040Z,"265km N of Tobelo, Indonesia",earthquake,4.5,1.9,0.068,67,reviewed,us,us
2019-02-19T12:51:01.870Z,4.099,128.3606,10,4.9,mb,,114,3.45,0.75,us,us2000jjzc,2019-02-19T13:09:15.040Z,"265km N of Tobelo, Indonesia",earthquake,9.1,1.9,0.075,56,reviewed,us,us
2019-02-19T11:24:54.420Z,-5.7306,129.0633,246.51,4.7,mb,,73,3.151,0.68,us,us2000jjyr,2019-02-19T11:42:26.040Z,"243km S of Saparua, Indonesia",earthquake,7.5,8.9,0.12,22,reviewed,us,us
2019-02-19T11:06:42.930Z,-3.3812,146.994,10,4.6,mb,,145,1.38,1.05,us,us2000jjyj,2019-02-19T11:58:46.040Z,"153km SSW of Lorengau, Papua New Guinea",earthquake,10.5,1.9,0.097,32,reviewed,us,us
2019-02-19T11:06:30.020Z,4.1577,-76.8213,65.5,4.6,mb,,105,2.584,1.05,us,us2000jjyi,2019-02-19T20:52:22.306Z,"38km NE of Buenaventura, Colombia",earthquake,8.2,7.7,0.047,137,reviewed,us,us
2019-02-19T10:26:19.760Z,19.4933333,-155.4848333,4.6,2.98,ml,59,39,0.04509,0.13,hv,hv70817636,2019-02-19T18:42:42.790Z,"26km WNW of Volcano, Hawaii",earthquake,0.25,0.56,0.148,45,reviewed,hv,hv
2019-02-19T09:50:28.370Z,-8.9509,-108.9579,10,4.7,mb,,160,30.231,0.69,us,us2000jjy7,2019-02-19T11:18:27.040Z,"Central East Pacific Rise",earthquake,10.7,1.9,0.074,55,reviewed,us,us
